date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:40:42	128506/128506	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:40:41%20GMT	https://demo.farost.net/logisti/service/supply-chain/	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/service/supply-chain/index.html	(from https://demo.farost.net/logisti/)
07:40:42	128485/128485	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:40:41%20GMT	https://demo.farost.net/logisti/service/packaging/	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/service/packaging/index.html	(from https://demo.farost.net/logisti/)
07:40:42	194250/194250	---M--	200	added ('OK')	image/jpeg	etag:%225d02ffd8-2f6ca%22	https://demo.farost.net/logisti/wp-content/uploads/2019/04/shutterstock_301382870-1.jpg	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/wp-content/uploads/2019/04/shutterstock_301382870-1.jpg	(from https://demo.farost.net/logisti/)
07:40:45	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202022%2000:40:43%20GMT	http://demo.farost.net/logisti/wp-content/uploads/2019/04/slider-4.jpg	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/wp-content/uploads/2019/04/slider-4.18.delayed	(from https://demo.farost.net/logisti/)
07:40:45	121570/121570	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:40:43%20GMT	https://demo.farost.net/logisti/industry/sciences-healthcare/	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/industry/sciences-healthcare/index.html	(from https://demo.farost.net/logisti/)
07:40:45	121569/121569	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:40:43%20GMT	https://demo.farost.net/logisti/industry/industrial-chemical/	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/industry/industrial-chemical/index.html	(from https://demo.farost.net/logisti/)
07:40:45	121542/121542	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:40:43%20GMT	https://demo.farost.net/logisti/industry/retail-consumer/	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/industry/retail-consumer/index.html	(from https://demo.farost.net/logisti/)
07:40:47	251695/251695	---M--	200	added ('OK')	image/jpeg	etag:%225d02fee6-3d72f%22	https://demo.farost.net/logisti/wp-content/uploads/2019/04/slider-4.jpg	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/wp-content/uploads/2019/04/slider-4.jpg	(from https://demo.farost.net/logisti/)
07:40:47	121528/121528	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:40:45%20GMT	https://demo.farost.net/logisti/industry/power-generation/	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/industry/power-generation/index.html	(from https://demo.farost.net/logisti/)
07:40:47	121528/121528	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202022%2000:40:46%20GMT	https://demo.farost.net/logisti/industry/food-beverage/	D:/AppServ/www/fesagroupdemo/demo.farost.net/logisti/industry/food-beverage/index.html	(from https://demo.farost.net/logisti/)
